,제목,저자,출판사,발간일,가격
336,마지막 사도 1,장용민,재담북스,2023년 01월,"14,400"
337,광개토태왕 담덕 3,엄광용,새움,2022년 09월,"14,400"
338,빛의 호위,조해진,창비,2017년 02월,"12,600"
339,전지적 독자 시점 양장본 세트 1,싱숑,비채,2022년 09월,"106,650"
340,다이브,단요,창비,2022년 05월,"12,600"
341,"안녕, 인공존재!",배명훈,북하우스,2020년 07월,"11,700"
342,우리의 계절,이상택,델피노,2022년 10월,"13,500"
343,표백,장강명,한겨레출판,2020년 09월,"12,420"
344,무궁화꽃이 피었습니다 2,김진명,새움,2020년 07월,"13,500"
345,겨울방학,최진영,민음사,2019년 10월,"11,700"
346,삼개주막 기담회 3,오윤희,고즈넉이엔티,2022년 06월,"13,500"
347,삼대,염상섭,문학과지성사,2004년 12월,"10,800"
348,다윈 영의 악의 기원,박지리,사계절,2016년 09월,"18,000"
349,조선의 등 굽은 정원사,천영미,고즈넉이엔티,2021년 07월,"13,500"
350,고양이달 세트 (일러스트 특별판),박영주,아띠봄,2021년 03월,"89,100"
351,아무도 나에게 생활비를 주지 않는다,이종은,캘리포니아미디어,2022년 08월,"16,650"
352,붕대 감기,윤이형,작가정신,2020년 01월,"10,800"
353,당신 옆을 스쳐간 그 소녀의 이름은,최진영,한겨레출판,2022년 01월,"12,420"
354,막 너머에 신이 있다면,김준녕,허블,2022년 08월,"14,400"
355,모두가 회전목마를 탄다,이묵돌,마이디어북스,2022년 11월,"16,650"
356,김영하 소설 결정판 박스 세트 1차분,김영하,복복서가,2020년 09월,"54,000"
357,잠 못 드는 밤의 궁궐 기담 ,현찬양,엘릭시르,2022년 09월,"14,400"
358,최은영 소설 2022 한정 여름 에디션,최은영,문학동네,2022년 07월,"31,500"
359,GV 빌런 고태경,정대건,은행나무,2020년 04월,"12,150"
360,태평천하,채만식,문학과지성사,2005년 01월,"8,100"
361,태백산맥 세트,조정래,해냄,2020년 10월,"157,500"
362,그 많던 싱아는 누가 다 먹었을까,박완서,세계사,2012년 01월,"11,700"
363,너의 바다가 되어,고상만,크루,2021년 10월,"13,320"
364,덕혜옹주,권비영,다산책방,2015년 10월,"12,420"
365,레이디 맥도날드,한은형,문학동네,2022년 03월,"13,050"
366,고구려 1부 : 땅을 다지다 세트,김진명,이타북스,2021년 06월,"89,100"
367,마지막 사도 2,장용민,재담북스,2023년 01월,"14,400"
368,한국단편문학선 2,김동인,민음사,1999년 03월,"9,900"
369,상아의 문으로,구병모,문학과지성사,2021년 11월,"12,600"
370,러브 몬스터,이두온,창비,2023년 02월,"14,400"
371,타워,배명훈,문학과지성사,2020년 02월,"13,500"
372,마당 깊은 집,김원일,문학과지성사,2018년 09월,"12,600"
373,룬의 아이들 - 데모닉 완전판 세트,전민희,엘릭시르,2020년 06월,"117,900"
374,검푸른 고래 요나 ,김명주,다산책방,2022년 10월,"14,400"
375,두 번째 엔딩,김려령,창비,2021년 02월,"11,700"
376,디디의 우산,황정은,창비,2019년 01월,"12,600"
377,밤에 찾아오는 구원자,천선란,안전가옥,2021년 06월,"11,700"
378,룬의 아이들 - 블러디드 2,전민희,엘릭시르,2019년 09월,"13,050"
379,백 오피스,최유안,민음사,2022년 01월,"12,600"
380,눈길,이청준,사피엔스21,2012년 02월,"7,200"
381,덧니가 보고 싶어,정세랑,난다,2019년 11월,"11,700"
382,오빠가 돌아왔다,김영하,복복서가,2020년 09월,"9,000"
383,카지노,김진명,새움,2010년 07월,"12,420"
384,토지 3,박경리,마로니에북스,2012년 08월,"12,150"
385,우주섬 사비의 기묘한 탄도학,배명훈,자이언트북스,2022년 05월,"13,320"
386,그 남자네 집,박완서,현대문학,2021년 01월,"11,700"
387,광개토태왕 담덕 4,엄광용,새움,2022년 12월,"14,400"
388,좀비즈 어웨이,배예람,안전가옥,2022년 03월,"9,000"
389,강산무진,김훈,문학동네,2006년 04월,"12,600"
390,베니스의 개성상인 1,오세영,문예춘추사,2023년 01월,"15,120"
391,빵 좋아하는 악당들의 행성,곽재식,비채,2022년 03월,"13,320"
392,고양이달 1 (일러스트 특별판),박영주,아띠봄,2021년 03월,"29,700"
393,세상에서 가장 아름다운 이별,노희경,북로그컴퍼니,2015년 05월,"11,520"
394,춘향전,백범영,민음사,2004년 04월,"10,800"
395,철도원 삼대,황석영,창비,2020년 06월,"18,000"
396,룬의 아이들 - 블러디드 1,전민희,엘릭시르,2018년 11월,"13,050"
397,별뜨기에 관하여,이영도,황금가지,2020년 10월,"12,420"
398,바이러스 X,김진명,이타북스,2020년 11월,"14,220"
399,엘리베이터에 낀 그 남자는 어떻게 되었나,김영하,복복서가,2020년 07월,"9,000"
400,마당을 나온 암탉 20주년 특별판,황선미,사계절,2020년 04월,"13,500"
401,한산,김동하,고즈넉이엔티,2022년 07월,"14,400"
402,죽은 자의 꿈,정보라,새파란상상 (파란미디어),2022년 05월,"13,050"
403,기억 서점,정명섭,시공사,2021년 10월,"12,420"
404,파우스터,김호연,위즈덤하우스,2019년 04월,"15,120"
405,"여름, 어디선가 시체가",박연선,놀,2016년 07월,"12,420"
406,고스트라이터즈,김호연,위즈덤하우스,2017년 04월,"12,150"
407,돌보는 마음,김유담,민음사,2022년 03월,"11,700"
408,몸과 여자들,이서수,현대문학,2022년 12월,"11,700"
409,수면 아래,이주란,문학동네,2022년 08월,"12,150"
410,유괴의 날,정해연,시공사,2019년 07월,"12,870"
411,어룡이 놀던 자리,김도일,득수,2023년 01월,"13,500"
412,댓글부대,장강명,은행나무,2015년 11월,"10,800"
413,젊은 느티나무,강신재,문학과지성사,2007년 07월,"9,450"
414,사람의 아들,이문열,알에이치코리아(RHK),2020년 04월,"14,400"
415,서울 1964년 겨울,김승옥,문학과지성사,2019년 09월,"13,500"
416,영도에서 제다까지,이상윤,석영(石永),2022년 03월,"11,700"
417,무례한 상속,김선영,다림,2021년 06월,"10,800"
418,베니스의 개성상인 2,오세영,문예춘추사,2023년 02월,"15,120"
419,일곱 해의 마지막,김연수,문학동네,2020년 07월,"12,150"
420,생의 이면,이승우,문이당,2013년 01월,"11,700"
421,2023 신춘문예당선 소설집,한국소설가협회,한국소설가협회,2023년 01월,"17,100"
422,기괴한 레스토랑 3,김민정,팩토리나인,2022년 02월,"12,150"
423,아무것도 아니라고 잘라 말하기,임솔아,문학과지성사,2021년 12월,"12,600"
424,아무도 아닌,황정은,문학동네,2016년 11월,"10,800"
425,토지 4,박경리,마로니에북스,2012년 08월,"12,150"
426,"그 겨울, 손탁 호텔에서",듀나,퍼플레인(갈매나무),2022년 08월,"13,500"
427,천년의 질문 1,조정래,해냄,2019년 06월,"14,850"
428,동백꽃,김유정,문학과지성사,2005년 04월,"11,700"
429,굿바이 R,전경린,문학동네,2022년 07월,"13,050"
430,무진기행,김승옥,문학동네,2004년 10월,"11,700"
431,천년의 질문 3,조정래,해냄,2019년 06월,"14,850"
432,기괴한 레스토랑 2,김민정,팩토리나인,2021년 11월,"12,150"
433,사랑이 한 일,이승우,문학동네,2020년 11월,"12,600"
434,그림자 황후 세트,손정미,이정서재,2022년 10월,"27,000"
435,우리들의 행복한 시간 ,공지영,해냄,2016년 08월,"15,120"
436,혼불 2,최명희,매안출판사,2009년 07월,"10,450"
437,하버드 22학번,구하비,다산책방,2022년 09월,"14,400"
438,노랑무늬영원,한강,문학과지성사,2018년 11월,"12,600"
439,빛의 과거,은희경,문학과지성사,2019년 08월,"12,600"
440,레몬,권여선,창비,2019년 04월,"14,400"
441,나로 만든 집,박영란,우리학교,2021년 12월,"11,700"
442,고구려 1,김진명,이타북스,2021년 06월,"14,220"
443,설계자들,김언수,문학동네,2019년 01월,"13,050"
444,천변풍경,박태원,문학과지성사,2005년 01월,"9,900"
445,난장이가 쏘아올린 작은 공,송기숙,가람기획,2020년 10월,"14,220"
446,…스크롤!,정지돈,민음사,2022년 05월,"12,600"
447,우리가 다시 만날 세계,황모과,문학과지성사,2022년 02월,"12,600"
448,가해자들,정소현,현대문학,2020년 10월,"11,700"
449,"영원의 사자들 1,2 세트",정은궐,파란 (파란미디어),2020년 09월,"27,000"
450,대불호텔의 유령,강화길,문학동네,2021년 08월,"12,600"
451,김동식 소설집 박스 세트,김동식,요다,2021년 03월,"117,000"
452,천년의 질문 2,조정래,해냄,2019년 06월,"14,850"
453,까칠한 재석이가 돌아왔다,고정욱,애플북스,2021년 12월,"10,800"
454,팬데믹,김초엽,문학과지성사,2020년 09월,"11,700"
455,메밀꽃 필 무렵,이효석,문학과지성사,2007년 11월,"9,900"
456,기나긴 하루,박완서,문학동네,2012년 01월,"10,800"
457,곁에 있다는 것,김중미,창비,2021년 03월,"12,600"
458,우리는 천천히 오래오래,백신애,작가정신,2022년 12월,"13,500"
459,길 없는 길 1,최인호,여백출판사,2021년 04월,"12,600"
460,평양에서 걸려온 전화,고호,델피노,2019년 11월,"12,600"
461,삼포 가는 길,황석영,문학동네,2020년 05월,"14,400"
462,침이 고인다,김애란,문학과지성사,2007년 09월,"13,500"
463,나는 절대 저렇게 추하게 늙지 말아야지,심너울,아작,2020년 06월,"13,320"
464,퇴마록 세계편 1,이우혁,엘릭시르,2011년 12월,"15,300"
465,나의 아름다운 날들,정지아,은행나무,2023년 02월,"14,400"
466,꺼삐딴 리,전광용,사피엔스21,2014년 05월,"6,750"
467,2020 제11회 젊은작가상 수상작품집,강화길,문학동네,2020년 08월,"11,700"
468,위저드 베이커리,구병모,창비,2009년 03월,"11,520"
469,이토록 아름다운 세상에서 ,고호관,현대문학,2022년 10월,"14,400"
470,욕조가 놓인 방,이승우,작가정신,2021년 10월,"11,700"
471,날짜 없음,장은진,민음사,2016년 11월,"12,600"
472,귀신나방,장용민,엘릭시르,2018년 09월,"13,050"
473,사평역,임철우,사피엔스21,2012년 07월,"7,650"
474,소설 보다 : 여름 2021,서이제,문학과지성사,2021년 06월,"3,150"
475,이효석문학상 수상작품집 2022,김멜라,생각정거장,2022년 09월,"13,500"
476,무정,이광수,민음사,2010년 07월,"9,000"
477,복수여신 ,임지은,북폴리오,2022년 08월,"10,800"
478,"오, 사랑",조우리,사계절,2020년 08월,"10,800"
479,마당이 있는 집,김진영,엘릭시르,2018년 04월,"12,420"
480,기괴한 레스토랑 1,김민정,팩토리나인,2021년 09월,"12,600"
481,우리의 환대,장희원,문학과지성사,2022년 12월,"12,600"
482,너를 닮은 사람,정소현,문학과지성사,2021년 10월,"12,600"
483,"친애하고, 친애하는",백수린,현대문학,2019년 02월,"10,080"
484,행운이 너에게 다가오는 중,이꽃님,문학동네,2020년 11월,"11,700"
485,속도의 안내자,이정연,광화문글방,2022년 12월,"11,700"
486,우리가 푸른 물에 가까이 가면 (워터프루프북),김기창,민음사,2022년 07월,"13,500"
487,화이트 호스,강화길,문학동네,2020년 06월,"12,150"
488,"하나의 인간, 인류의 하나",김동식,요다,2019년 03월,"11,700"
489,청부살인 협동조합 ,김동식,요다,2022년 11월,"12,600"
490,고래,천명관,문학동네,2014년 01월,"14,850"
491,까칠한 재석이가 달라졌다,고정욱,애플북스,2022년 04월,"11,250"
492,위치스 딜리버리,전삼혜,안전가옥,2020년 08월,"9,000"
493,풀꽃도 꽃이다 1,조정래,해냄,2016년 07월,"14,850"
494,태평천하,채만식,민음사,2022년 08월,"12,600"
495,꿈에서 만나,조우리,사계절,2021년 07월,"8,100"
496,풀이 눕는다,김사과,문학동네,2017년 08월,"11,700"
497,"소년, 소녀를 만나다 ",황순원문학촌 소나기마을,문학과지성사,2016년 05월,"10,800"
498,퇴마록 세계편 2,이우혁,엘릭시르,2011년 12월,"14,220"
499,혼불 3,최명희,매안출판사,2009년 07월,"10,450"
500,하얀 늑대들 11,윤현승,제우미디어,2020년 02월,"15,120"
501,소설가 구보씨의 일일,박태원,문학과지성사,2005년 04월,"9,900"
502,마지막 춤은 나와 함께,은희경,문학동네,1998년 11월,"11,700"
503,바늘과 가죽의 시,구병모,현대문학,2021년 04월,"11,700"
504,혹시 MBTI가 어떻게 되세요?,정대건,읻다,2022년 12월,"13,500"
505,상도 1,최인호,여백출판사,2020년 11월,"12,600"
506,환상통,이희주,문학동네,2016년 08월,"9,000"
507,식물들의 사생활,이승우,문학동네,2014년 01월,"11,700"
508,영원한 유산,심윤경,문학동네,2021년 01월,"13,050"
509,2021 김승옥문학상 수상작품집,문진영,문학동네,2021년 10월,"9,000"
510,가정 사정,조경란,문학동네,2022년 07월,"13,500"
511,"도시, 청년, 호러",이시우,안전가옥,2022년 05월,"11,700"
512,예술과 중력가속도 ,배명훈,북하우스,2016년 11월,"12,600"
513,퇴마록 세계편 3,이우혁,엘릭시르,2011년 12월,"14,220"
514,네가 있어서 괜찮아,임하운,시공사,2021년 11월,"13,050"
515,하얀 늑대들 10,윤현승,제우미디어,2020년 02월,"15,120"
516,하얀 늑대들 9,윤현승,제우미디어,2019년 07월,"15,120"
517,우상의 눈물,전상국,민음사,2005년 10월,"9,900"
518,하얀 늑대들 8,윤현승,제우미디어,2019년 07월,"15,120"
519,병신과 머저리,이청준,문학과지성사,2010년 07월,"9,900"
520,가족이란 이름을 한 꺼풀 벗겨 내면 (워터프루프북),최진영,민음사,2022년 07월,"13,500"
521,왓섭! 공포라디오,왓섭!,북오션,2022년 07월,"14,400"
522,로기완을 만났다,조해진,창비,2011년 04월,"11,700"
523,햇빛 마중,문진영,마음산책,2022년 11월,"13,500"
524,사우디 집사,배영준,델피노,2022년 07월,"13,500"
525,피구왕 서영,황유미,빌리버튼,2019년 01월,"10,800"
526,김유정 소설집,김유정,피치마켓,2018년 08월,"13,500"
527,중증외상센터 : 골든 아워 11~15 세트,이낙준(한산이가),몬스터,2022년 08월,"67,500"
528,나는 유령작가입니다,김연수,문학동네,2016년 04월,"11,700"
529,완장,윤흥길,현대문학,2011년 04월,"10,800"
530,리시안셔스,연여름,황금가지,2022년 03월,"12,420"
531,고구려 5,김진명,이타북스,2021년 06월,"14,220"
532,악착같은 장미들,이우연,arte(아르테),2022년 04월,"17,820"
533,성공한 인생,김동식,요다,2018년 11월,"10,800"
534,성균관 유생들의 나날 1,정은궐,파란 (파란미디어),2009년 07월,"9,900"
535,무진기행,김승옥,더클래식,2021년 03월,"12,420"
536,초록 대리석,진혜원,한길사,2022년 09월,"14,400"
537,디 아이돌,서귤,위즈덤하우스,2022년 06월,"13,320"
538,#생태_소설,이혜원,문학과지성사,2021년 12월,"12,600"
539,태백산맥 1,조정래,해냄,2020년 10월,"15,750"
540,"안녕하세요, 자영업자입니다",이인애,문학동네,2022년 06월,"13,500"
541,퇴마록 혼세편 2,이우혁,엘릭시르,2012년 04월,"15,300"
542,기다릴 때 우리가 하는 말들,김병운,민음사,2022년 09월,"12,600"
543,토지 9,박경리,마로니에북스,2012년 08월,"12,150"
544,부끄러움을 가르칩니다,박완서,문학동네,2006년 08월,"14,850"
545,관리자들,이혁진,민음사,2021년 09월,"12,600"
546,우아한 거짓말,김려령,창비,2014년 02월,"12,420"
547,예수의 할아버지,최원영,좋은땅,2020년 08월,"18,000"
548,복수 법률 사무소 세트,도진기,황금가지,2022년 12월,"35,100"
549,녹즙 배달원 강정민,김현진,한겨레출판,2021년 04월,"12,600"
550,길 없는 길 2,최인호,여백출판사,2021년 04월,"12,600"
551,토지 5,박경리,마로니에북스,2012년 08월,"12,150"
552,청년의사 장기려,손홍규,다산책방,2012년 05월,"11,700"
553,제2회 한국과학문학상 수상작품집,김초엽,허블,2018년 03월,"10,800"
554,파씨의 입문,황정은,창비,2012년 01월,"11,700"
555,되겠다는 마음,오성은,은행나무,2022년 11월,"12,600"
556,고구려 2,김진명,이타북스,2021년 06월,"14,220"
557,유년의 뜰,오정희,문학과지성사,2017년 09월,"11,700"
558,토지 10,박경리,마로니에북스,2012년 08월,"12,150"
559,기이현상청 사건일지,이산화,안전가옥,2022년 04월,"11,700"
560,까칠한 재석이가 사라졌다,고정욱,애플북스,2014년 12월,"7,650"
561,혼불 6,최명희,매안출판사,2009년 07월,"10,450"
562,웬만해선 아무렇지 않다,이기호,마음산책,2016년 02월,"11,250"
563,토지 11,박경리,마로니에북스,2012년 08월,"12,150"
564,놀이터는 24시,김초엽,자이언트북스,2021년 06월,"12,600"
565,"로지나 노, 지나",이란주,우리학교,2020년 11월,"12,600"
566,중증외상센터 : 골든 아워 1~5 세트,이낙준(한산이가),몬스터,2020년 08월,"67,500"
567,[예스리커버] 달콤한 나의 도시,정이현,문학과지성사,2006년 07월,"10,800"
568,인류애가 제로가 되었다,오누이,스토리존,2022년 06월,"12,150"
569,토지 12,박경리,마로니에북스,2012년 08월,"12,150"
570,성균관 유생들의 나날 2,정은궐,파란 (파란미디어),2009년 07월,"9,900"
571,상도 2,최인호,여백출판사,2020년 11월,"12,600"
572,외딴방,신경숙,문학동네,2014년 01월,"13,950"
573,오피스 누나 이야기,팔메이로,에이템포미디어,2021년 10월,"13,050"
574,나는 그것에 대해 아주 오랫동안 생각해,김금희,마음산책,2018년 10월,"12,150"
575,기억술사,임다미,팩토리나인,2022년 02월,"12,600"
576,"빨간 모자, 여행을 떠나 시체를 만났습니다",아오야기 아이토,한스미디어,2021년 11월,"14,220"
577,길 없는 길 3,최인호,여백출판사,2021년 04월,"12,600"
578,원더보이,김연수,문학동네,2012년 02월,"13,050"
579,누운 배,이혁진,한겨레출판,2021년 08월,"12,420"
580,술과 바닐라,정한아,문학동네,2021년 05월,"12,150"
581,조선 정신과 의사 유세풍,이은소,새움,2018년 07월,"12,420"
582,달 드링크 서점,서동원,문학수첩,2022년 12월,"12,600"
583,소설 무소유,정찬주,열림원,2022년 03월,"13,500"
584,소설 보다 : 가을 2021,구소현,문학과지성사,2021년 09월,"3,150"
585,시하와 칸타의 장,이영도,현대문학,2020년 04월,"11,700"
586,토지 7,박경리,마로니에북스,2012년 08월,"12,150"
587,좋은 변호사 변설,김해수,신아출판사,2022년 09월,"14,250"
588,민트 돔 아래에서,송경화,한겨레출판,2022년 09월,"14,220"
589,네 번의 노크,케이시,인플루엔셜,2021년 10월,"12,420"
590,아멜리아와 네 개의 보석,배혜림 외 12인,몽실북스,2022년 12월,"13,500"
591,길 없는 길 4,최인호,여백출판사,2021년 04월,"12,600"
592,원미동 시인,양귀자,사피엔스21,2012년 02월,"7,200"
593,커튼콜은 사양할게요,김유담,창비,2022년 11월,"14,400"
594,국경시장,김성중,문학동네,2015년 02월,"10,800"
595,김유정 단편소설 10선,김유정,에세이(ESSAY),2014년 06월,"10,800"
596,젊은 날의 초상,이문열,알에이치코리아(RHK),2020년 06월,"13,500"
597,인생 우화,류시화,연금술사,2018년 07월,"14,400"
598,토지 13,박경리,마로니에북스,2012년 08월,"12,150"
599,상록수,심훈,문학과지성사,2005년 06월,"9,450"
600,막다른 세계,안수혜,생각정거장,2022년 07월,"13,050"
601,누구에게나 친절한 교회 오빠 강민호,이기호,문학동네,2018년 05월,"12,150"
602,기억이 잠든 계절,진설라,델피노,2023년 01월,"13,500"
603,숲의 애가,서여로,황금가지,2023년 01월,"14,220"
604,토지 14,박경리,마로니에북스,2012년 08월,"12,150"
605,뒤틀린 집,전건우,안전가옥,2021년 11월,"11,700"
606,손 더 게스트,원보람,문학수첩,2020년 08월,"16,650"
607,토지 15,박경리,마로니에북스,2012년 08월,"12,150"
608,고령화 가족,천명관,문학동네,2010년 02월,"10,800"
609,상도 3,최인호,여백출판사,2020년 11월,"12,600"
610,한국이 싫어서 (워터프루프북),장강명,민음사,2018년 07월,"13,500"
611,늑대신부,권현숙,헤르몬하우스,2022년 07월,"13,500"
612,시골무사 이성계,서권,다산책방,2012년 03월,"11,700"
613,애널리스트,이재영,림투자자문,2022년 11월,"14,850"
614,2022 올해의 문제소설,한국현대소설학회,푸른사상,2022년 02월,"15,750"
615,푸르게 빛나는,김혜영,안전가옥,2022년 10월,"10,800"
616,근로하는 자세,이태승,은행나무,2022년 04월,"12,600"
617,"세련되게 해결해 드립니다, 백조 세탁소",이재인,안전가옥,2021년 08월,"11,700"
618,소설 보다 : 봄 2021,김멜라,문학과지성사,2021년 03월,"3,150"
619,그렇게 할 수밖에,최도담,네오픽션,2022년 12월,"12,600"
620,이어달리기,조우리,한겨레출판,2022년 02월,"12,600"
621,2022 신춘문예당선 소설집,한국소설가협회,한국소설가협회,2022년 01월,"17,100"
622,알려지지 않은 예술가의 눈물과 자이툰 파스타,박상영,문학동네,2018년 09월,"12,150"
623,젠가,정진영,은행나무,2020년 12월,"12,150"
624,아홉 켤레의 구두로 남은 사내,윤흥길,문학과지성사,2019년 09월,"13,500"
625,길모퉁이에서 만난 사람,양귀자,쓰다,2015년 02월,"10,800"
626,중증장애인과 그 부모의 삶에 관하여,김영임,리더북스,2022년 08월,"12,600"
627,자두,이주혜,창비,2020년 08월,"12,600"
628,퇴마록 혼세편 1,이우혁,엘릭시르,2012년 04월,"15,300"
629,예언,김진명,새움,2022년 12월,"14,850"
630,우리가 쓴 것,조남주,민음사,2021년 06월,"12,600"
631,잘 자요 엄마,서미애,엘릭시르,2018년 10월,"12,420"
632,개밥바라기별,황석영,문학동네,2014년 01월,"12,600"
633,토지 20,박경리,마로니에북스,2012년 08월,"12,150"
634,꺼삐딴 리,전광용,을유문화사,2009년 05월,"9,000"
635,우리에게 허락된 미래,조해진,마음산책,2022년 01월,"12,600"
636,고구려 3,김진명,이타북스,2021년 06월,"14,220"
637,우리는 이 별을 떠나기로 했어,천선란,허블,2021년 03월,"11,700"
638,푸른수염의 첫번째 아내,하성란,창비,2021년 02월,"12,600"
639,토지 8,박경리,마로니에북스,2012년 08월,"12,150"
640,봄봄,김유정,사피엔스21,2012년 02월,"6,300"
641,여름에 우리가 먹는 것,송지현,문학동네,2021년 11월,"12,600"
642,그래서 우리는 사랑을 하지,박서련,돌베개,2021년 03월,"11,700"
643,아리랑 세트,조정래,해냄,2020년 10월,"189,000"
644,도가니,공지영,창비,2017년 08월,"15,300"
645,우리는 페퍼로니에서 왔어,김금희,창비,2021년 05월,"12,600"
646,퓨처워커 1~4권 세트,이영도,황금가지,2011년 12월,"43,200"
647,만남의 거리,배종훈,아이러브북,2023년 01월,"14,400"
648,천국에서 온 탐정,이동원,스윙테일,2022년 12월,"14,220"
649,너를 찾아서,박산호,더라인북스,2022년 08월,"13,500"
650,모든 비밀에는 이름이 있다,서미애,엘릭시르,2021년 03월,"12,600"
651,중증외상센터 : 골든 아워 6~10 세트,이낙준(한산이가),몬스터,2021년 08월,"67,500"
652,궁극의 아이,장용민,엘릭시르,2013년 03월,"12,420"
653,토지 6,박경리,마로니에북스,2012년 08월,"12,150"
654,영매 소녀,박에스더,안전가옥,2022년 09월,"10,800"
655,토지 19,박경리,마로니에북스,2012년 08월,"12,150"
656,자전거 도둑,김소진,문학동네,2002년 07월,"10,800"
657,부서진 여름,이정명,은행나무,2021년 05월,"13,050"
658,혼불 9,최명희,매안출판사,2009년 07월,"10,450"
659,더블,정해연,해피북스투유,2023년 01월,"14,400"
660,"나혜석, 글 쓰는 여자의 탄생",나혜석,민음사,2018년 03월,"10,800"
661,퇴마록 혼세편 3,이우혁,엘릭시르,2012년 04월,"15,300"
662,혼불 4,최명희,매안출판사,2009년 07월,"10,450"
